candidate,delta_beta_x3,delta_log10_p_x3,beta_x3,p_x3,r2,n_trials
CTZ-13,-0.03243070770314471,-0.10643422990364915,4.983095243680268,0.0007422640989206509,0.8816970486999908,48
CTZ-17,-0.1483484783172262,-0.44052667678137336,4.867177473066186,0.0016019571767712164,0.8531822031313333,50
CTZ-7,-0.7491086810822152,-0.6674288345622319,4.266417270301197,0.002701177106186124,0.8654497856012202,54
CTZ-10,-1.1105080226763766,-1.1727058820086271,3.9050179287070357,0.008646296167714299,0.8596206787324324,52
CTZ-9,-2.343503181670746,-1.515163962463483,2.672022769712666,0.019023402115961898,0.8778876055178311,54
CTZ-5,-2.351445981771577,-2.267994347839411,2.6640799696118354,0.10767591562378842,0.5735150480660824,54
CTZ-12,-3.402217014680545,-2.5499195938730606,1.6133089367028672,0.20608378375242423,0.8598361650223487,52
